1,"Cloak of Angel's Shadow: A beautiful white silk cloak trimmed with downy feathers, freely given by a heavenly angel. The cloak never becomes stained or dirty and always smells clean and fresh. While worn, the bearer's shadow appears to have large, angelic wings and the bearer gains full mental control over their shadow's movements. While worn the bearer gains advantage on all charisma checks (Diplomacy, intimidation, bluff, etc.) made against angels, who recognize the sight and smell of their kin. The bearer suffers disadvantage on all charisma checks made against demons, who recoil at the stench of their ancient foe."
2,"Ring of Rulers: A large signet ring of gold, emblazoned with a unicorn crest of pure white opal. When the band is donned by a commoner, the metal becomes uncomfortably hot but causes no physical injury. A creature of noble blood (However slight), or destined to become a noble at some point in the future, who dons the ring suffers a momentary flash of light and pain which deals a single point of hit point damage. The bearer will find that the unicorn crest has reshaped itself to his own heraldry (Or a heraldry matching the bearer's personality), which has also been branded upon the back of their finger. From then onward, the bearer can don or remove the ring without any further ill effects. If the ring is removed for more than a minute, the signet shifts back into the shape of a unicorn."
3,"A dog sized, domesticated earth elemental that is afraid of beetles but is extraordinarily loyal to whoever employs it. The rocky creatures goes by the name Marl and speaks Common and Terran in the slow, deep rumbling tones of many stones being rubbed together with a specific purpose. Marl considers it's employer to be the last creature to present it with a high quality diamond the size of a large marble and currently sports two such gemstones as “eyes”."
4,"Roll a Random Musical Instrument: A visually beautiful instrument that when played, creates illusory musical notes which dance and flow around the player. The visual quality and movement of the notes depend on the skill of the musician. Fortunately the instrument passes along a basic knowledge of its use to bearer, granting the creature proficiency with it for as long as its held. Still, a naturally poor player with a shoddy or simple song produces small pitiful illusions that mope around, while a master musician playing an orchestral piece creates large vibrant illusionary notes that flow in tune with the melody. ---Note: The instrument: ^RandomMusicalInstruments^"
5,"A thick, heavy belt of woven steel chains, connecting seven different gemstone medallions together. The gems are set (From left to right) diamond, emerald, lapis lazuli, topaz, opal, ruby and amethyst. The belt looks as though it should be worn by a rightful heir."
6,"A wooden box lined with velvet, containing five gems each the same size as the fruit they resemble. A ruby cut in the shape of a strawberry, a faceted emerald in the shape of a lime, an amethyst fashioned in the shape of a plum, a topaz chiseled in the shape of a banana and a diamond sculpted in the shape of a peach."
7,An unbreakable metal cage of meteoric metal with a miniature star contained inside. The celestial body occasionally produces startlingly complex music which coincide with storms that rage across the surface and flare out the bars of the cage. The star emits as much light as a torch and is only slightly warm to the touch.
8,"A brilliant, fist sized gemstone that shine with its own inner light and takes all light that falls upon it and refracts it into ten thousand sparks of white radiance shot with glints of the rainbow. The wondrously large white gem bears a thousand facets all skillfully cut by dwarven master artisans, lacking a single superfluous edge. The radiance of the precious jewel has no match and shines like silver in firelight, like water in the sun, like snow under the stars and like rain upon the moon."
9,"Connoisseur's Orchestrion: A beautiful hand sized mahogany music box whose working components are made of magically enchanted gold and silver. The object fills its bearer with a sense of musical snobbishness and the desire to listen to, record and play the finest instrumental music possible. When exposed to nonmagical music, the box can be commanded to record the song. The arcane clockwork device can hold up to ten songs and is able to reproduce them in perfect quality, whenever commanded. The music box is an exceptional judge of music and refuses to record music of a lesser quality of what it has already stored. Should the bearer attempt to save an eleventh song, it is compared to the other ten recordings and the objectively worst song is forgotten to make room for the new one. If the eleventh song is worse than the ten already stored the device does not record it or remove a stored song. The bearer has no control over this process which is seen as a blessing among musical circles, as it prevents user error and all but guarantees the music is of masterful quality."
10,"The Devil's Bleeding Crown: A demonic circlet made exclusively of black iron, sporting 13 vicious looking spikes rising from its band. Humanoid faces showing frozen expressions of terror and pain cover the majority of it's exterior. While worn, the faces animate and seem to be screaming in pain and terror although they do not make a single sound. The eye sockets of each face glows with the light of a single burning ember and begin to cry a slow stream of bloody tears onto the bearer. The tears burn like acid (Dealing one point of unpreventable acid or necrotic / unholy /profane damage per round) to good and neutral creatures but is completely harmless to evil bearers and does not effect objects or clothing whatsoever. Knowledgeable PC's will know that the crown is called “Volbeat” and is a demonic royal symbol of the bearer's power, ruthlessness and ability. Finding the crown is fairly simple as the devil who usually wears it never makes an effort to hide or blend in. The crown makes the bearer a target for lower ranking devils to kill him and take the crown, therefore cementing their own place as a prince of devils. This crown is infamous for never being on the same horned head for any length of time. In fact clever devils will sometimes place it on the heads of captured enemies as a torture device, letting the tears burn them slowly until the devil grows bored. Occasionally used to to convert captured enemies to evil by attaching the crown to their heads and placing tests in from of the subjects. For example: “Kill the other helpless prisoner and the burning will end. Your own life matters more than them and stopping the pain means more than their life.” If the subjects commit enough evil acts, their moral alignment changes and the crown will stop burning them."
