1,"A heavy cold iron crown with silver decorations that touch the bearer's temples. The silver plating along the front of the crown displays scenes of fey creatures being subjugated and killed."
2,"A crown made of carved and polished ash with gold inlays."
3,"A heavy gold circlet decorated with laurel leaves. Almost buried among the laurel leaves of the crown are the sharp points of miniature swords. Half the small swords nestled among the wide band of laurel leaves point down and dig into the bearer scalp making it uncomfortable to wear and provides a constant reminder of its weight, in gold and responsibility."
4,"A gold plated circlet inlaid with semi-precious stones. It is clean and well maintained, causing it to appear more valuable than it actually is."
5,"A grisly crown of interwoven mummified fingers which each severed digit bearing a silver ring with a skull insignia"
6,"A twisted crown of jagged iron. All who regard the bearer feel a deep instinct that he is a legitimate political threat, though they are not forced to act on these emotions."
7,"An agate-studded bronze crown that carries a weight to it more than the sum of its parts. Whenever the crown is placed on a head, an personal ideal flows into the bearer's mind like a line of poetry long forgotten but suddenly remembered. The words “^AllMottos^” are always on the bearer's mind in some small way while the crown is worn and while he must consider the phrase, he is not forced to act on its meaning."
8,"A delicate circlet woven from silver wire that bestows upon its bearer perfect posture at all times."
9,"A crown of stylized black metal thorns around which hangs a dark ululating organza veil covering the head entirely. The veil is dyed with the faint outline of a face in mournful agony."
10,"The right half of a broken bronze circlet with a light leafy pattern. When placed on a head, stays in place as though the other half was still there."
11,"A misting crown made out of translucent ice that never melts."
12,"A thin silver crown set only with a single small diamond. It has an inscription in elvish that reads, “Stature is not the veracity of faith”"
13,"A winged circlet that whispers endlessly into the bearer's ears about jumping from high places and flying free. The circlet imparts its wielder with absolutely no special ability to leap higher or take flight in any form whatsoever."
14,"A circlet of beaten bronze that is plainly quite old. It has four empty settings, which clearly once held precious gems or some other form of decoration."
15,"A plain, beaten silver crown set with a large oval-shaped lapis lazuli."
16,"A morbid crown of tarnished silver. Spikes are woven throughout it making it difficult to wear without pain."
17,"A circlet made of beaten gold. The metal is tarnished with age but a perceptive PC can still make out the symbol of a god of trade on the forefront of the circlet."
18,"A cheap looking crown made out of thirty broken pewter spoons."
19,"A bizarre crown of tarnished bronze with ten metal eyestalks sprouting upward, each eyestalk bearing a different kind of gemstone."
20,"A tiara formally belonging to a lost princess who was captured during a major war. It is believed that she was killed during her imprisonment but her remains were never discovered. This circlet is very valuable as it is made of precious metals and stones and has major cultural significance."
21,"A decorative circlet made of braided horse hair."
22,"A crown crafted from sharp barbs of corroded and tangled metal that push their way deep into the skull of the wearer, sending dark, invigorating energy through his body."
23,"A tiara made from impossibly intricate wooden patterns. It doesn't seem to fit anyone who tries to wear it."
24,"A child's bronze headband with three large pieces of clear quartz set into it."
25,"A golden headband that makes the bearer invisible to small rodents."
26,"A velvet-capped crown whose framed is constructed of tin, polished to a silvery gleam. It seems designed for actors rather than nobility."
27,"A crown consisting entirely of magically preserved rose thorns. Each flower is in full bloom, the petals luscious and dewy."
28,"A heavy bronze crown made in the traditional ^Humanoid^ design."
29,"A gold circlet set with four aquamarines spaced evenly around the band."
