1,"Precise: The weapon's grip has been modified to amplify every tiny movement of the wielder's hands, allowing it to respond even the smallest flick of the wrist. The weapon's precise movements allow the wielder to execute accurate strikes, granting a +1 on attack rolls to hit targets. —Note: Projectile weapons with this improvement bestow the bonus upon their ammunition when fired."
2,"Balanced: The weight of the object is expertly distributed over its length with a focus on additional weight on the business end of the weapon. This allows the wielder to utilize their own weight as a counterbalance and their arms as a fulcrum, allowing each strike to hit harder. Ammunition with this bonus has been carefully crafted in regard to its weight ratio in order to channel the weapon's force into the correct angle of release to better strike the target. In ranged weapons this bonus represents stronger limbs and strings, allowing a greater storage of kinetic force that is then released into the ammunition. The weapon grants an additional +1 to all damage rolls made with it. —Note: Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired."
3,"Spellbound: This weapon tingles faintly with magical energy, barely detectable to those who aren't specifically looking for it. The weapon could bear simple arcane runes along it's length, spent years of time directly exposed to magical energy thereby soaking it in, was blessed by a cleric or celestial creature of moderate power or was crafted by (Or crafted from) a being with magic in their very blood such as a sorcerer, fey creature or extraplanar being. Whatever the case, the object retains just enough magical essence for it to be considered a magical weapon for the purposes of overcoming resistances, damage reduction and other defenses, but offers no bonuses to accuracy or damage. —Note: Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired."
4,"Impervious: The weapon is extraordinarily durable and any wielder can plainly feel the solid construction under its unyielding form. The weapon could be made from a higher quality material than normal, reinforced with metal struts, rivets or bands, been marked with magical or divine sigils of protection and abjuration, or have been made by a labor intensive process that isn't commonly used such as folded steel, spell sung wood or damascus steel. The weapon is five times more durable than normal, never breaks, chips or dulls as a result of casual use and is all but impossible to break or damage as a result of combat, even when targeted by enemies who attempt sundering or weapon breaking techniques. Thrown weapons and ammunition with this benefit are always easily recoverable after combat ends. —Note: Depending on your game system the weapon may either have five times as many hitpoints or have a greatly increased hardness or damage reducing quality. If there is no existing system in place and weapons simply break or do not break as a result of damage, consider giving the weapon five “charges” or “lives”. Each time it would be broken as a result of damage, it instead remains fully intact but losses a life or charge and it is destroyed when all five have been used up."
5,"Relentless: This weapon is designed to cause two wounds in a single blow. It sports additional spikes, barbs, blades, blunt edges or is weighted in a way that whenever the wielder lands a blow he can hit the target again on the back swing of the same attack. Ranged weapons may have an additional bowstring or are crafted in such a way to place a mild spin on the projectiles causing them to penetrate while turning, causing more serious wounds without sacrificing accuracy. In thrown weapons and ammunition, barbs and serrated edges rip and tear at the victim's flesh upon impact which facilitates this effect. Although this can compromise the effectiveness of the weapon's main feature, the overall design raises the weapon's lethality. Whenever the wielder successfully hits a target instead of rolling the standard damage die, the player instead rolls an additional die that when combined equal the maximum value of the original damage die and add the results together. —Note: For example, a halberd that dealt 1d10 now deals 1d4+1d6, a shortsword goes from 1d6 now deals 2d3 and a greatsword goes from 2d6 to 3d4. The wielder still only makes a single attack roll for the multiple dice and the damage type does not change. For simplicity's sake, the DM should make a permanent decision on which kinds of dice are rolled. Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired"
6,"Superior: The weapon's cutting edge, bludgeoning surface or sharpened point is of far better quality compared to others of its kind. The symbol of a well respected weaponsmith or master craftsman is etched on the weapon's grip, marking it as a rare and valuable piece. The weapon's damage dice increases by one step to the next largest die. —Note: For example, if a normal dagger deals 1d4 damage, a Superior dagger deals 1d6. If the weapon already uses the largest die possible or practical such as a d10 or d12, the weapon now deals 1d10+1d2 or 1d12+1d2. Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired."
7,"Cruel: This object will never be mistaken for anything but a weapon. In addition to its main damaging feature, it bears, spikes, sharp blades, serrated edges, studs, or barbs all of which are meant to further the weapon's lethal qualities. These designs are favored by pit fighters, seasoned mercenaries, professional murderers and others who care only to kill their opponent as quickly and effectively as possible. There is no such thing as a glancing blow from this weapon, even the slightest hit will tear flesh and draw blood. In projectile weapons this bonus represents stronger limbs and strings, allowing a larger building of kinetic force that passes into the ammunition, speeding it to its final destination, an unwilling target. Whenever the player roll a 1 on a die to calculate the weapon's damage, they can reroll the die until they receive a result that is not a 1. —Note: This only affects the weapon's damage die itself and not other sources of additional damage such as sneak attack, divine smite or spell effects. Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired."
8,"Defensive: The weight of the object is expertly distributed over its length with a focus on additional weight on the weapon's grip. This change, along with a modified reinforced grip designed to shelter the hands and wrists, allows the wielder to easily recover into a ready stance after attacking and make better use of the weapon as a parrying device. The weapon grants +1 to the wielder's armor class / defense value / dodge rating or other system mechanic that decreases the chances of being hit with an attack. —Note: Not recommended for ammunition or thrown weapons."
9,"Vicious: The physical attributes of this weapon seem to be designed to wound an enemy's sense of sight as much as the rest of their body. The weapon sports large spikes, sharp blades, metal bands, serrated edges, studs, or barbs that the wielder can use to further damage the target in the event of a poor initial strike. Ranged weapons may have an additional bowstring or are crafted in such a way to place a mild spin on the projectiles causing them to penetrate while turning, causing more serious wounds without sacrificing accuracy. These additional features can be difficult to use correctly and although they are better to have than not, it's a gamble as to their effectiveness. Whenever the player roll a 1 or a 2 on a die to calculate the weapon's damage, they can reroll the die and must use the new roll, even if the new roll is a 1 or a 2. —Note: This only affects the weapon's damage itself and not other sources of additional damage such as sneak attack, divine smite or spell effects. Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired."
10,"Brutal: Whether its a sharp blade, piercing end, or blunt edge, the business end of this weapon is exceptionally well made. Despite the obvious professionalism involved with its crafting, the weapon has no distinguishing, embellishments, decoration, ornamentation or even a maker's mark. The weapon almost raw in design without a single ounce of material that is not absolutely vital for the weapon to function. Despite all the lack of finery (Or perhaps because of it) the wielder can feel a primal, almost barbaric urge when they use the weapon in combat. The weapon makes no attempt to pretend that it's anything other than a tool of violence and that energy is channeled into the wielder's attacks. Whenever the player rolls the maximum result on a weapon damage die (I.e. a 6 on a six-sided die.), they can roll that die an additional time and add both results to the total damage dealt. This ability can trigger multiple times per turn but only once per attack. —Note: Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired."
11,"Mighty: The business end of this weapon is professionally crafted but its true value seems to be in the beautiful presentation of the entire object. The weapon seems to be more of a work of art than a tool of destruction and violence. It sports gold or silver filigree, gemstone studs, platinum banding, expert carvings, detailed etchings or decorative enchantments that serve to draw attention to itself. The weapon's adornments are durable and it never chips, dents, dirties, or becomes scratched, even while being used to cave in a goblin's skull. Despite all the lack of subtlety (Or perhaps because of it) the wielder experiences elegant, almost grandiose sensations when they use the weapon in combat, as if they were performing combat rather than fighting. The weapon is as deadly as it is beautiful, as the craftsman strove for singularity powerful blows as much as they did physical perfection. Whenever the wielder scores a critical hit with the weapon, the player can roll one of the weapon's damage dice one additional time and add the result to the damage dealt by the critical hit. This is in addition to the standard bonus damage of a critical hit. —Note: This only affects the weapon's damage die itself and not other sources of additional damage such as sneak attack, divine smite or spell effects. Projectile weapons with this improvement bestow the bonus upon their ammunition for the turn that it's fired."
12,"Silvered: The weapon's business end is covered in a durable layer of alchemically treated silver of incredible quality. Although unnaturally processed, the metal is pure and effective at dealing with undead, lycanthropes and fey creatures. The silversmith or weaponsmith who applied the silver plating went about the task with precision and expertise and the weapon is no less effective with the coating than a typical one of its kind. The weapon's grip also sports discrete bands of intricately worked silver which prevents the wielder's supernatural enemies from handling the weapon and using it against him."
13,"Tactical: The weapon has been modified in a variety of ways designed to improve the effectiveness of specialized combat maneuvers. Often this takes the form of large barbs or hooks, serrated blades or an improved weight distribution that allows the wielder to better hinder, harass, and hobble his opponent. The hooks and counterbalancing greatly improves the wielder's ability to trip, feint, grapple, pin, disarm, sunder, push and shove his opponents and the wielder gains advantage on any such combat maneuver type roll where the weapon was involved. Alternatively, the target gains disadvantage to resist the attempt, whichever is better for the wielder. The weapon makes it far easier for even a middling wielder to perform complex combat stunts. Using an action equivalent to making an attack or casting a spell, the wielder can attempt to perform one of the previously mentioned combat maneuvers. Whenever the wielder could make an attack with the weapon, he can instead perform one of the previously mentioned combat maneuvers. This follows the standard rules within the game system for resolving combat maneuvers and if none exist see Note. Furthermore, the wielder is able to take advantage of lucky blows and turn them into skillful maneuvers rather than simply powerful attacks. Whenever the wielder lands a critical hit, he can choose to cause it to be considered a normal hit instead and immediately perform one of the previously mentioned maneuvers (With advantage because of the weapon's design) on the target. Trading the extra damage for the maneuver does not consume any additional actions or movement. —Note: For a contesting combat maneuvers the wielder declares the maneuver and chooses to make either a Strength or Dexterity check which is contested against the target's Strength or Dexterity check (Target chooses the ability to use). If the wielder has the higher result, the target falls prone, disarmed of one object their holding, knocked back five feet, grappled, etc. If the target wins the contest, there is no effect and the action is consumed without effect. Recommended for melee weapons only, although certain throwing weapons or ammunition such as bolas or arrows designed to disarming or tripping could certainty be beneficial to a PC."
