1,"Accursed: The fiendish visage of a demon has been branded into the grip of the weapon. The weapon bears small infernal runes along its length that provide the wielder power at the cost of his personal well being. Knowledgeable PCs are able to determine that the symbols are not a demonic contract, nor does the source of the power stem from hellish origin. Rather the abyssal glyphs forcibly draw energy from the wielder's mental and physical defenses, worsening his ability to protect himself from harm. The weapon is treated as a +1 but while the weapon is being wielded and for one hour afterwards, the bearer suffers a penalty of -1 on all of his saving throws."
2,"Shiftsword: The symbol of a different Random Melee Weapon (See Note) is etched into the grip of this ^RandomMeleeWeapons^. This enchantment was tailor made for adventurers who wish to travel light while still retaining access to an assortment of armaments. The weapon is imbued with transmutation magic and once per round on his turn, the wielder can concentrate for a fraction of a moment (Taking an action equivalent to drawing a weapon), to cause the weapon to instantaneously change from its current form to the type of weapon etched onto the grip or back again. Any observer can clearly tell that both of the weapon's forms are of exceptional workmanship and that a great deal of time and skill went into their creation. Both weapons gain a single Random Masterwork Bonus (Either the same for each or two different benefits, DM's discretion). —Note: I recommend choosing two melee weapons that serve different purposes or deal different types of damage or a one handed weapon and a two handed weapon to increase the wielder's variety of attack options. A mace that turns into a halberd is far more useful than a mace that turns into a club. Examples rolled weapons: ^RandomMeleeWeapons^, ^RandomMeleeWeapons^, ^RandomMeleeWeapons^. Rolled Masterwork Bonus: ^MasterworkWeaponBonuses^"
3,"Peaceful Rest: The image of a corpse with its arms peacefully crossed over its chest, coins covering its eyes and a serene smile on its face is etched on the grip of the weapon. The bearer feels a sense of serenity and calmness over the prospect of their mortality and is able to accept the grim inevitable with stoicism and grace. The bearer will still fight to the bitter end against hopeless odds to save their own life or that of an ally but the wielder knows that with his last breath he will great death as an old friend and go gladly into the light. If a creature is dealt a killing blow from this weapon, their body does not rot or decay in any way for seven days and during this time the body cannot be made into an undead. The effect also extends the time limit on raising the target from the dead and days spent under the influence of the weapon's effect don't count against the time limit of spells such as raise dead. Should a creature be killed while actively wielding the weapon, their body is also affected in the same manner. —Note: Not recommended for thrown weapons or ammunition."
4,"Wild Magic: A large glyph of raw magic is emblazoned on the business end of the weapon. With each successful strike in combat, the mark pulses and flickers with barely contained power always threatening to burst free from the weapon's confines and alter the very fabric of reality. On truly remarkable attacks, a small portion of the untamed sorcery surges free and causes unpredictable effects. Whenever the wielder lands a critical hit on an attack roll with the weapon, the player must roll on the Wild Magic Surge Table and that effect occurs in addition to the critical hit. While rolling on the table, the wielder is considered the “caster” and the critical hit is considered “spell” for the purposes of the surge. —Note: The DM could also rule that the magic surges on a natural 1, however many of the table's results are based on a successful attack / spell. For D&D 5e players the DM can choose to have the player roll on my homebrew tables of effects on this blog, the published Sorcerer's Wild Magic Surge table or any other random effect table you can find. Should the player roll on a result that would be grossly detrimental for the campaign (Such as casting Fireball at their own feet resulting in a TPK) the DM should feel free to have the player reroll. Not recommended for thrown weapons or ammunition."
5,"Cinders: The weapon is fashioned from smoldering materials and the symbol of a tongue of flame is branded into the grip. Embers still crackle and burn in the charred wooden components and metallic parts have cherry red business ends with tiny rivulets of liquid metal trailing along the weapon's length. The entire object is surrounded by a wavy heat mirage and although the weapon feels warm to the touch, it is never hot enough to damage a creature who simply holds it, nor will the weapon ignite objects on contact. The weapon's fiery power deal burning injuries that scorch the skin and leave charred, smoldering corpses in the wielder's wake. When used in combat, the wielder's hands become coated in a fine layer of ashes and on a successful attack with the weapon, the wielder can choose to have all of the damage dealt be considered fire damage rather than the weapon's normal damage type. Projectile ranged weapons will ignite their ammunition when shot, bestowing the enchantment upon their ammunition for the turn that it's fired."
6,"Nightmares: The handle of the weapon is pitch black and seems to soak in the ambient light around it. Whenever a creature makes contact with the weapon, (Be they the wielder or target) that creature relives a fleeting instant of a long forgotten childhood nightmare before the memory quickly submerges back into their subconscious. Twice per day, when the wielder lands a successful attack against an enemy he can choose to cause that creature to suffer from severe night terrors during their next eight hours (Consecutive or non-consecutive) of sleep as they experience a vivid and specific Random Nightmare. The victim's sleep is plagued with thrashing and screaming as they frequently bolt awake terrified, drenched in cold sweat, their heart pounding heavily in their chest. The creature's sleep is so disturbed by the nightmares that they gain no benefits from the rest whatsoever. —Note: Projectile weapons with this enchantment bestow the magic upon their ammunition for the turn that it's fired."
7,"Patience: The length of the weapon is covered in a complicated pattern of swirling silver whorls that calm and soothe a creature who observes it. At the first moment of combat, the bearer senses that the battle may go better for them if they take a moment to observe the situation and ready themselves before joining the fray. When initiative is rolled, if the bearer chooses (Before rolling) to go last in the initiative order, the silver patterning begins to glow a dull red and the weapon is treated as a +1 weapon for that wielder until the end of combat."
8,"Wolfbrother: A weapon simple in its design, lacking any sort of flair or decoration save for the imprint of a leaping wolf stamped into the leather grip. A bearer feels a sense of animalistic cunning from the weapon and that despite its simple appearance, it is much more than it seems. After three days in the possession of a bearer who has never deliberately harmed or killed a wolf, the bearer's eyes become a bright yellow even golden color, glow faintly in the dark and catch the light, granting a wolfish appearance. This effect fades 24 hours after the weapon has left the wielder's possession. A wolf eyed wielder takes on some of the heightened senses of the untamed wolf and can see in low or dim light as if it was bright light and gains advantage to any perception checks made regarding their sense of smell. Wolves are pack hunters and a golden eyed bearer instinctually benefits from a nearby ally while in combat, using the minor distraction to go for the enemy's throat. The wielder gains a +1 on damage rolls with the weapon if an allied creature is within five feet of the target. Bearers who have ever harmed or killed wolves feel a strong sense of betrayal and revulsion when touching the weapon and they cannot benefit from its magic nor are they considered proficient with the weapon. —Note: Recommended for melee weapons."
9,"Bloodied: The symbol of a ferocious, wild eyed badger is etched on the grip of the weapon. A healthy bearer can feel the faintest hint of dormant, primal rage at the back of their mind waiting patiently for its power to be called upon. The knowledge of this emergency, animalistic violence hibernating within himself can leave the bearer comforted or uneasy, depending on how civilized or evolved he views himself. When the wielder is heavily injured the wielder flies into a bestial frenzy and channels that power into the weapon, which is treated as a +1 if the wielder has less than half of his total hit points remaining. This adrenaline fueled rage immediately departs a wielder whose life is not in immediate danger (Above half of his total hit points) as the primal urges retreat back into dormancy rather than further taxing the wielder's energy."
10,"Tithing: The holy symbol of the God of ^RandomGodlyDomains^ is etched on the grip of the weapon. The object functions as a direct spiritual connection to that deity and a creature make offerings directly to the God in return for a minor blessing. The bearer may lay ten gold coins (See Note) along the surface of the weapon and pray to the God for ten minutes. At the end of this ritual, the gold coins vanish and the weapon is treated as a +1 weapon for the next eight hours but only for the creature who prayed. The bearer feels a strong sense of religious devotion during the eight hour span and feels motivated to carry out the basic tenets of the domain the God represents. The wielder is not compelled to act in this way and is not forced to violate any strongly held morals or beliefs. —Note: Rather than a flat ten gold, the DM can rule of another flat value, X gold per character level or other reasonable amount. Not recommended for ammunition or thrown weapons."
