1,"An ornate necklace with a star made of obsidian sparkling with a multitude of tiny diamonds embedded in it. The star is impressively cut; its six rays reached right around the polished hemisphere, and their intersection floats just above the surface."
2,"A small, crudely made vine necklace with a locket made of hardened mushroom. Within the locket rests a glowing green seal made of soft moss that represents a proud guardian of the natural cycle or one who has sold her soul to darkness for eternal life, depending on the observer's point of view. Knowledgeable PC's will know that the symbol belongs to an influential guild known as the Golgari Swarm. The guild is the embodiment of life and death and the teeming masses of the Swarm believe that both are natural and equally essential too. To them, life and death are natural elements of a cycle with no intermediary break. A locket like this is usually given to those who have performed amazing feats for the Swarm."
3,"An amber disk carved in deep relief on one side, its edge guarded by a hoop of gold, the whole thing strung on a golden chain. Knowledgeable PC's will recognize the object as the official seal of the abbess of a remote convent of militant nuns."
4,"A uniquely designed onyx amulet with a pattern of raised curving line on the front surrounding a central dome. On the back of the object have been inscribed a few calligraphed lines that form either a poem or a warning. “Mindless rage will shake the world, Cunning lies will bend it. Reckless haste will break the world, And into darkness send it.”"
5,"A misshapen amulet that appears to represent some sort of weird… thing. It's impossible to get a good grasp of its exact shape or dimensions, and its geometry may not be entirely euclidean. Attempting prolonged gazes at the eldritch object or studying it in detail produces headaches, fleeting visions of alien hellscapes and temporary short term memory loss."
6,"A pretty necklace consisting of a sapphire strung on a silver chain. On close inspection, an observer can tell the gemstone has a pocked of air trapped within it. Knowledgeable PC's will know that this phenomenon is known as an inclusion and is used in some circles as a ward against curses. The pendant smells of juniper, broom and aspen."
7,"A hexagonal, purple crystalline stick with an indent at the bottom that hides a pattern of raised notches. The top has an enclosing eye-hook with a string, making it a decorative necklace that may double as a key."
8,"A boar shaped amulet, made from the tusk of a wild pig."
9,"An amulet fashioned from a piece of stone the size of a human fist, held by a worn leather thong. It is all that remains of the cairn of Saint Placys, a herald for an ancient and forgotten God of Death."
10,"A small locket designed for a noblewoman, with small painted portraits of her and her husband on the inside… and an even smaller portrait of her secret lover, in a hidden compartment positioned closest to her own heart."
11,"A mundane piece of tribal jewelry which incorporates small amounts of animal fur, teeth, claws, and bones into the design. It sports carvings of predators etched into the side and can be worn as a heavy necklace."
12,"A sculpted oak pendant inset with a stone of teardrop-shaped marble."
13,"A medallion that appears to be made of barely  contained, pure magic. The wild arcane energy is old and must have been caged in times of legend when Primordials and Gods roamed the land fighting for control of the future. When touched the magic surges and the bearer can feel the ancient wards strengthen in response, preventing the medallion from exploding."
14,"An orcish necklace consisting of the teeth of a legendary berserker strung on a leather cord."
15,"A necklace made from pewter chain with a lead pendant that depicts the image of the minor God of a Random Evil Domain."
16,"An amulet consisting of a tangle of vines around a smooth amber core. When viewed from the proper angle it takes the shape of a dragon's eye."
17,"A silver chain from which hangs a marvelous, bright blue gem the size of a human palm. In the center of the jewel rests a clear liquid."
18,"A decorative gorget made of painted porcupine quills. A single bear claw hangs down from the center of the front."
19,"A fine chain necklace fashioned from links of some strange red metal. The chain retains body heat for an unusually long time."
20,"A chain necklace with a small painting decorating its oval pendant. The painting is extremely detailed and displays what appears to be a king on a throne. While wearing the pendant, the bearer occasionally experiences the vague feeling of not being where they are supposed to be."
21,"A wooden necklace in the shape of an inverted pentagram that becomes extremely warm to the touch when exposed to fresh blood."
22,"A necklace bearing a small pendant made from 1000 year bog oak. The jewelry serves as a literal shard of history, as the wood was naturally pickled and preserved over many centuries. The oak has compressed and darkened, becoming as hard as a stone as it's slowly been fossilized. Traces of silver have grown into the cracks and crevices, contrasting with the now blackened wood and accentuates its aged surface detail. The silvery, stony wood is set on a base plate of copper."
23,"A large bone medallion in which is carved the image of a black cat standing silhouetted on a droughted grass hilltop, staring up at swarms of blood-red crows undulating in an ever-darkening sky. A creature who stares directly at the grisly scene feels a sense of dread overcome them and sees the world as a dimmer and scarier place until they break eye contact with the carving."
24,"A fine, unassuming silver chain, bearing a single arrowhead shaped jewel. While worn, it stirs thoughts of legendary battles and heroic deeds."
25,"A heavy silver heart shaped locket, engraved with a pattern of thorns. Although it has visible hinges, the pendant refuses to unfasten despite all attempts to pry or coax it open."
26,"A necklace of iron shaped into a pattern of thorns."
27,"A small charm on a leather cord. The charm looks to be of an ever shifting blue grey material, but it is solid to the touch."
28,"A pendant consisting of a small glass vial containing a human tooth, carved into the shape of a heart."
29,"A necklace with five interlocking golden rings integrated into the chain. Each ring is surrounded by tiny semi-precious gemstones."
30,"A necklace with a pendant on it that has an arrow engraved into it. No matter how it is held, the arrow always points to the sky."
31,"A slate grey locket that has unreadable script on the outside. The locket is sealed shut and it sounds like there's something lightly scraping against the inside…"
32,"A pendent with a red spider lily embedded in resin. It starts to glow when someone close to the bearer will never be seen again."
33,"An amulet of amber with a tiny forget-me-not flower stuck inside of it. It glows orange when the bearer thinks of someone they lost."
34,"A gold rimmed, silver amulet with a four-leafed clover etched into one side."
35,"A step-cut ruby in a silver setting, suspended on a fine cord."
36,"A pendant consisting of a clear crystal like a large drop of water, strung on a complex, thin gold chain."
37,"A thick necklace made of polished copper supporting a dozen carefully matched and cut pieces of hematite stones."
38,"A druid's necklace consisting of four acorns carved from amber, strung together with a cord that resembles interwoven roots. Each acorn contains a small piece of elemental matter, one for each of the four elements: air, earth, fire, and water."
39,"A small green and square emerald strung on a simple pewter necklace."
40,"A hand carved heart pendant that's warm to the touch. If placed close to one's ear they can hear a soft but steady heartbeat."
41,"A narwhal shaped pendent, made from whale horn."
42,"A bejeweled pendant in the shape of a desert scarab. The gemstones twinkle in dim lighting, inviting its bearer to dream of higher ambitions."
43,"A coral cameo pendant on a string of river pearls."
44,"A silver pendant, sans chain, shaped like a cone snail's shell. There is a hole beside the chain loop, but no stopper within. Inside, the shell is hollow. Close inspection reveals that the shell culminates in a very sharp, short needle. Fluids placed in the shell well at the needle's vicious end."
45,"An operculum pendant on a fragment of silver chain. The whorl of the operculum is filled with bright leading. The reverse side is carved with a knot of engraved text in block letters; a language unknown."
46,"A toadstone, brown, nearly circular, wrapped in dull lead wire. A loop is spun into the wire, and a new leather thong is tied through the loop, allowing it to be worn as a pendant. A symbol is carved on the stone's bottom; that of a curled, bat-winged serpent."
47,"An amulet of invocation made of copper, stamped with the symbol of the ancient druidic rune for winter. Knowledgeable PC's will recognize the pendant as proof of membership of The Pale Brotherhood of Eternal Winter a sinister organization that once invoking the presence of Laphela, the Marchioness of Cursed, the Dread Succubus to further their goal of cold misery across the world."
48,"A malevolent amulet made of demon horn, carved into the holy symbol of the God of Random Evil Domain"
49,"A necklace of carved golden birch pieces on a thong that is made to wrap around the bearer's neck several times."
50,"A silver medallion that bears the image of an hourglass, each grain of sand a tiny encrusted chip of topaz."
51,"A silver pendant that hangs off a silver chain that houses a tiny cabochon ruby that has been pierced by an even smaller dagger."
52,"A simple necklace consisting of a copper chain with six coin-sized copper dragon scales affixed to it."
53,"A necklace that's little more than seven brightly polished coils of copper wire strung together."
54,"A bronze necklace formed in the shape of a roaring draconic head embedded with sparkling ruby eyes."
55,"A pendant consisting of a faintly glowing rough stone suspended in a filigree cage hanging from a thin golden chain."
56,"An amulet carved from old ivory polished to a silky finish. It has been carved to resemble a boar suckling a human babe, a bear cub, and a hound. It used to be a cloak pin, but the spur of bone that acted as a pin is broken off and a hole has been bored through the boar's spine. Its hollow eyes once held gems, and one of the tusks is broken off, but the boar's hooves are still rimmed in gold."
57,"A scratched and dented locket which, when opened, appears to contain a much larger space."
58,"A tarnished tin pendant with a constellation marked on it that dangles from woven a horsehair necklace."
59,"A necklace of human toe bones all pierced through a necklace of dried intestines."
60,"A gold pendant with an ivory mosaic depicting a kobold beneath a halo."
61,"A turquoise and silver pendant depicting a medusa looking in a mirror. Making eye contact with the medusa's image makes an observer's muscles feel stiff and cramped."
62,"An onyx cameo depicting three lambs being eaten by wolves."
63,"A copper medallion in the form of an ankh cross set with zircon."
64,"A rusted iron medallion, on which is displayed a burning star inside a triangle."
65,"A medallion consisting of a golden oval, enameled with a blue dolphin nageant, strung on a chain."
66,"A moonstone of unusual size and translucency set in an amulet. When the night sky is viewed through the stone, the constellations may be seen in sharp relief and are instantly recognizable even to someone unfamiliar with astronomy or astrology."
