1,"You and your fellow party members are all dancing a complicated waltz with your most hated enemy and their minions in an elegant ballroom. Midway through the dance, the villains disperse into wafts of smoke but the dance continues. You find yourself in a circle with your party members, facing each other's backs. The dance steps are becoming increasingly difficult to remember and you keep getting them just a bit wrong. Your allies seem to be having the same dilemma with their choreography. Your hands, as required by the dance, alternatively stretch out to the sides, reach forward to touch the back of the person in front of you, raise up high into the air as your hand swivels about its wrist, or drops to your side to clutch the hilt of your weapon. As the music reaches a crescendo, your hand drops and grasps the hilt, but this time you draw it from its sheath and in the final move of the dance, you plunge it into the back of the comrade directly in front of you, as they do the same. You look down at the blade projecting from your chest, and observe the spurt of blood before you all collapse, the dance at an end. As the world begins to darken and your life ebbs away in pools of radiant red, you notice the orchestra who have led this dance. It is you and the rest of the party and they too have collapsed over their instruments above pools of blood. You awake from the nightmare with a half-strangled gasp, sweating profusely."
2,"You are delving into a dungeon, exploring a side passage when the floor gives way unexpectedly. You fall into a deep pit, your fall cushioned by a thick carpet of maggots. You can feel the crawling mass engulf your body sucking you deep into its depth as they worm their way down your shirts, into your ears, nose and mouth. You can see your companions are there with you, but appear to be unconscious. You make your way to one, turn him over, and see a desiccated half-eaten face stare back at you and smile. You awake in a cold sweat."
3,You are have been trekking through a damp cavern for hours with your allies in search of treasure. You find yourself in a larger opening with a great many mushrooms and fungi of unfamiliar species. There is a small pond at the side and you are reminded it has been some time since you had something to drink. As you bend down to fill your waterskin you catch your reflection. Your face is covered in large pus-filled wounds. As you turn to look at your companions a large wound on the cheek of one of your party members bursts forth in a spray of spores directly into your face. You stumble back and fall into the water and awake in a cold sweat.
4,"You are walking along a safe and familiar path having a conversation with a loved one. You are having a wonderful time catching up and telling them of your adventures and exploits. After a while you realize that something is amiss and your loved one's responses have become slow and stilted as if they aren't quite themselves. You turn and inspect them when you realize in horror that it is not your loved one but in fact your most hated enemy who has cut off your loved one's face and crudely affixed it to theirs. You scream as you remember every secret, detail and weakness you just admitted to the villain and there is no way your loved one is still alive after having their face flayed off. You sit up wide awake and it takes you a few moments to realize that you are still screaming."
5,You have been called to the royal court to be acknowledged for your service to the realm and to be handsomely rewarded. You have an audience with the king himself and you are greatly looking forward to it. When you arrive you notice the retainers are laughing behind your back and that no one is congratulating you. You try to rise above the lack of respect and the snobbish nature of the nobles and the king enters the chamber to address you. As soon as his majesty sees you he begins laughing as well. You look down in horror and realize you are naked.
6,"You are staring at yourself in the mirror with a small basin resting on the table before you. You watch yourself open your mouth and begin to pull out your own teeth, one by one. You try to stop yourself but you are trapped within your own body- forced to watch yourself as blood cascades from your mouth and you drop the teeth one by one into the basin with a slow, methodical plink… plink…plink…plink."
7,"You are with your lover, lying in bed after making love. The room is hot and sticky, and there are an unusual number of flies that buzz around annoyingly. You reach over and run your fingers through your lover's hair and notice a bump at the back of their head. They ask you what's wrong and you tell them. They roll over so you can see the bump. You part their hair, and in doing so the “bump” opens. Their entire head is hollow and filled with black flies that pour out in a never ending stream. The room fills with flies and you can feel them begin to bite at the back of your head, burrowing into your flesh to nest within your skull. You wake up writhing around swatting at the imaginary storm and frantically touching your head looking for bumps."
8,"You are a child with your mother sitting comfortable in the place in which you grew up. The hearth is warm and inviting and your mother is sewing a tear in your clothing. You watch as she pulls the thread in, out, in, out, until the tear is closed expertly. She looks up at you and says kindly, “One more tear to fix.” And takes the needle of black thread and brings it to your face. In, out, in, out, and expertly sews your mouth shut. “There, that's better” she says. You wake up clenching your jaw out of fear and for a moment believe that your mouth is actually sown shut before you're able to relax and open your mouth."
9,"You find yourself chained to a wall in a jail cell, opposite something humanoid but almost completely covered in chains. You're able to determine its general size but the creature is so covered in the rusted metal that its appearance, gender, or even species is completely unidentifiable. It seems to realize that you are awake and leaps for you but the chains stop it just short, leaving your back against the wall and its fingertips inches from your face. Its breath is foul and pungent from between yellow teeth, and you can barely see pale skin and dry-cracked lips. It strains against the chains for hours lunging at you, trying to claw your flesh with its filthy unkempt claws, always coming close but never quite making contact. When you eventually wake up, the foul odor of its breath seems to linger for a moment before dissipating."
10,"You are walking through a moonlit garden when you see in a secluded corner a pair of young lovers meeting. You watch as they stare adoringly into each other's eyes and whisper promises of the future to one another. The shadows ripple near their corner and you see a number of black cloaked assassins creep out of the hedges with drawn blades. You try to call out a warning to the couple but your voice sounds weak and far away and they cannot hear you. The assassins kill them both at the same time, plunging daggers deep into their eyes and holding them down until the screams and struggling come to a stop. You sense something behind you, and as you turn you catch only the glint of steel before blinding pain erupts in your head. You awake immediately and your eyes have a hard time focusing for a few moments."
