1,"A big heavy ring made of sterling silver. On the face of the ring is a skull the size of a large man's thumb, run through with a lance and a flag fluttering around it. Knowledgeable PC's will recognize the sigil as that of the Mad Lancer's an infamous cavalry unit that was a force of nature as much as a military company."
2,"An onyx ring set with a shimmering opal, from which a thin line of black smoke continuously billows forth."
3,"A shinning brass signet ring that proudly displays a raised fist against a red starburst. Knowledge PC's will recognize the sigil as the symbol of a paladin order known as the Boros Legion. There's a weight to it that belies its size, a weight of strength and of pride."
4,"A cheap-looking tin ring that has a small dial adorned with letters of the alphabet that can be aligned with various strange pictographs. Knowledgeable PC's will recognize it as a decoder ring and can be used to decipher texts that were written using this specific ring or a twin of it."
5,"A ring comprised of two interlocking bands, one gold engraved with a motifs of laughing faces and the other granite with a motif of faces set in stony silence."
6,"A lead ring bearing engravings of an otherworldly entity spreading its unnatural gifts."
7,"Ring of Fire Detection: A pure white ring set with a transparent red gemstone. The gemstone will light up and emit a piercing sound if the ring comes into direct contact with fire, magical or otherwise."
8,"A simple black ring is polished to a shine, and written in gold lettering around the outer band is the phrase “I am better off healed than I ever was unbroken.”"
9,"A crudely made gold ring set with a huge green gemstone that glows faintly even in full daylight."
10,"An iron ring set with a dark ruby of great size and splendor. Within its heart flickers a mysterious flame, entrapped there in ages past by a masterful mage."
11,"A thin ring made of two intertwining strands of silver and gold, both ornate and simple in appearance."
12,"A silver ring in the shape of a spider whose legs clasp around the wearer's finger and whose body is a yellowish gem."
13,"An unassuming copper ring clean and shiny like a new penny, it has dozens of smiling faces faintly carved into its surface."
14,"A silver ring with golden ram's horns curling around the edge of its crown."
15,"A bog iron ring with a poem in Druidic on the inside."
16,"An onyx ring. When tapped three times, a faint blue light shows the symbol of an assassin's guild."
17,"A pair of black iron body piercing rings, with a chain linking them."
18,"A copper ring with a small clear gem that shimmers slightly even in the dark. It is badly crafted with scuffs and scratches along the loop and yet there is something quaint about it that suggests more value than the first impression would suggest."
19,"A silver banded ring with a single white gem encased in the center. Etched into the surface are ancient glyphs, binding its power to an individual to be used as a focus. The head of the ring is a flat surface which is adorned with an intricate ritualistic circle design."
20,"A lavender ring with a cosmic gemstone faceted into it. The gem moves and glows like outer space, and has a spiral vortex pattern along its edges."
21,"An iron signet ring whose symbol can be changed once per day by the bearer. The image must be something the bearer has seen and remembers clearly."
22,"A crystalline ring in the shape of a dragon, that changes based on the bearer's emotional state."
23,"A gold ring whose ^RandomColourTable^ gemstone levitates just out of the socket, following wherever the ring goes."
24,"A platinum ring that has a large blue sapphire embedded in the band. When the bearer looks into the stone, he can see a perfect reflection of himself that appears to have a life all of its own. Engraved on the inside of the band one can see a message that reads; “Never lose sight of your true self”."
