1,"A sealed glass vial filled with a thick red liquid that appears to be blood. If consumed, the drinker becomes instantly certain that it was indeed blood."
2,"A sealed glass vial filled with raw licorice powder."
3,"A sealed glass vial containing a memory of darkness."
4,"A sealed glass vial containing the magically preserved, blood-like sap of the Gulthias tree. Knowledgeable PC's will know that the immense, twisted, black tree sprouted from the greenwood stake that was used to kill a vampire of terrible power."
5,"A sealed glass vial filled with dozens of expertly amputated pixie fingers."
6,"A sealed glass vial containing three magically preserved acorns taken from an oak treant."
7,"A sealed glass vial filled with a pale blue, milky, potion. If consumed, during the drinker's next restful sleep they receive a vision from their deity. The vision takes the form of a dream, in which they will be imparted with instruction or advice that their god requires them to know. The message can last for hours or be as brief as a single sentence depending on the deity's personality and the length of the instruction. The deity may be less than pleased to be sought out in this manner and their instruction may simply be a warning never to do this again. The creature will wake normally, remember the dream perfectly and their sleep is otherwise unaffected."
8,"A sealed glass vial filled with slug slime."
9,"A sealed glass vial containing a single wart from monkey's finger."
10,"A sealed glass vial filled with a black oily liquid. If consumed, the drinker is wracked with a vivid and specific nightmare the next time he sleeps. As the nightmare begins, the dreamer finds himself in a dark forest. In the corner of his eye, the dreamer see something is following him. Turning back, he sees a menacingly large wolf, standing on its hind legs. Eyes adjusting to the darkness, the dreamer sees the monster's throat has been slit cleanly. The gaping wound opens and closes noisily with it's the creature ragged breathing. As the dreamer's gaze drifts downwards, he can see a large silver dagger covered in blood, clutched in one of his hands. The dreamer's heart pound in his chest as both he and the wounded werewolf settle into fighting stances and sprint towards each other. Both parties crash into each other and grapple for dominance. The silver dagger plunges into the wolf's furry hide as it's monstrous claws flay the dreamer's skin straight down to the bone. The dreamer manages to sink the blade between the creature's thick ribs and into its heart but the dream ends as the the monster clamps its toothy maw onto the dreamer's neck causing his life's blood to spurt out onto the forest floor."
11,"A sealed glass vial filled with werewolf fur."
12,"A sealed glass vial containing three crystallized drops of blood of the God of War."
13,"A sealed glass vial filled with dozens of toothpicks made of bone splinters."
14,"A sealed glass vial containing three magically preserved acorns taken from a dryad's oak tree."
15,"A sealed glass vial filled with a ^RandomColourTable^ liquid. If consumed, for the next 1d6 days the creature will have full control over their own dreams as if they could lucid dream. The creature will also remember their dreams in perfect detail."
16,"A sealed glass vial filled with magically preserved sap taken from a living treant."
