1,"A breastplate comprised of swamp dragon bones bound with its hide. The armor leaves the arms bare and a skirt of leather strips go down to the wielder's knees."
2,"A kite shield with a pattern of a great serpent painted onto it, that will writhe and attempt to dodge any blows blocked by the shield. If the serpent is struck, it will drip red oil down the shield's surface."
3,"A suit of padded armor consisting of a billowing assemblage of earth-coloured cloth that seems to flow with the wind as if made of sand itself."
4,"A suit of ^RandomArmor^ with the emblem of a crescent moon prominently displayed on the chest piece. A creature who suffered injury while wearing the armor experiences no dreams of any sort the next time they sleep. They wake undisturbed by the traumatic memories of pain and combat subconscious might have tried to dredge up."
5,"A tower shield whose entire outer face is taken up by the Brightly Coloured holy symbol of a God of ^GoodDomains^. The interior of the shield bears a large inscription that reads “The Wall Against Which Darkness Breaks” that can be easily read by the wielder no matter how the shield is held."
6,"A conspicuous suit of pearly white scale mail edged with glinting gold."
7,"A steel breastplate emblazoned with a coat-of-arms; A stylized golden windmill on a red field."
8,"A rare set of Dwarven plate armor, created from thin sheets of a specially treated stone that resemble marble. This specific suit of Dwarven stone armor is cumbersome and more ornamental than practical, the whorls in its marbled texture area pleasing to the eye. Knowledgeable PC's are aware that this design of stone armor serves as the dress uniform for the legendary dwarven defenders. Nevertheless, the armor provides impressive protection, as long as the person wearing it does not plan on moving very fast. Dwarven stone armor includes greaves and helmet, but not gauntlets."
9,"A tower shield made of strangely glowing obsidian and fir with a single diagonal grey stripe on an ebony field."
10,"A hulking suit of plate mail with overall grim physical traits. The upper arms and legs are comprised out of several long, silver-colored iron plates, while the lower arms are made out of a pair of two plates tied together. The hands are a pair of iron gauntlets, each having a pair of four spikes instead of knuckles and fingers made of cloth. The middle, ring and little fingers are fused together, leaving the index and thumb separate. The feet are a pair of leather boots with iron guards. The chest piece is formed out of two large metal plates held together by an iron ring, in turn, held in place by five leather belts. Around the waist and left shoulder, the armor sports a brown tunic with fur trims, which is tied together by a black leather belt with two dangling rings of iron. The neck is an extension of the torso plates, in turn, covered by an iron guard formed from a single, long iron plate that forms a circle around the sides and the back of the head. The helmet is a composite of iron, facial bones and fur. The nape and the scalp are two distinct metal plates, with a pair of small horns just above the eye sockets, the number “66” written on the left side, just above the cheekbone, and the white long hair protruding from the back. The face is formed out of white facial bones of some unknown humanoid animal, having large eye sockets, a large mandible with two spiky bone going downwards and eight distinct razor-sharp fangs, four on the upper jaw and another four for the lower jaw. A small alchemical circle drawn in blood is located inside the armor, written on the neck plate."
11,"A set of half-plate armor assembled from a combination of chainmail with metal plates (breastplate, epaulettes, elbow guards, gauntlets, tasses, and greaves) covering vital areas. Buckles and straps hold the whole suit together and distribute the weight, but the armor still hangs more loosely than a suit of full plate. It includes matching gauntlets."
12,"A large leather shield made of glossy blue lizard skin stretched on fir, bearing a flaming hand of white on a dark green field. Knowledgeable PC's will the emblem as that of The Hellfire Stewards, an order of mercenary paladins whose goal is to incite, then profit from, armed conflicts between nations."
13,"An iron breastplate covered in a white tabard bearing a triangular, pale blue, shield symbol."
14,"A tower shield of steel and ash, with five diagonal olive green stripes on a black field."
15,"An exquisite armor of fire blackened chainmail, adorned with the blue-black feathers of ravens."
16,"A close close-fitting bodysuit resembling sharkskin. Multitudes of overlapping tooth-like, artificial scales cover the body from the neck down. The outfit provides as much protection as a chain shirt with being as light as leather armor and imposes no penalties to checks that involve swimming. However the bearer must spend as much time donning the bodysuit as he would donning a set of plate mail."
17,"A tower shield of brass and mahogany displaying the image of a lute within a square in grey on a black field."
18,"A set of druid tooled, studded leather armor fitted with pieces of amber, bone, wood, shell and jade rather than metal."
19,"A chain mail hauberk, split for riding, with a leather undercoat, polished from wear."
20,"A silver plated shield depicting an intense battle between a zombie mounted on a dire wolf, a snarling owl bear, and a banshee in flight ripping a priest in half."
21,"A suit of leather armor comprised of a mixture of soft flexible leather for mobility and hard leather made rigid by being boiled in oil. The suit includes a leather skullcap that offers some protection to the scalp and ears."
22,"A shield with two metal sticks that can be taken out of the back. When hit, the shield either sound like a steel drum, a gong, or an odd snare drum, depending on where on the shield it is struck. When not in combat, the armor serves as an odd but perfectly functional drum."
23,"A set of studded leather that not only offers solid core protection but also a bit of extra defense in the form of two defensive shoulder pieces allowing the wielder to shrug off blows with ease. The breastplate is crafted entirely from rigid buffalo leather, configured in a lamellar style. A series of lames, or leather straps, are successively layered, from the shoulders down, to create an armor that is not only protective, but also durable."
24,"A kite shield bearing a strange device; A small white hand in the centre of a black field."
25,"A full suit of plate constructed from the shells of giant scorpions. The predatory arachnid's chitin is heavily polished and the inner surfaces are fitted with padding, rendering it flexible and rather comfortable to wear. The armor making process softens the bony plates, making them far more pliable and likely to bend instead of shatter when struck. The armor includes a pair of lobstered gauntlets fashioned from a pair of the hulking scorpion's claw's making the wielder truly terrifying to behold."
