1,"Chillrend: A longsword bearing a leaf shaped blade of sharp blue ice which is freezing to the touch. Its iron handle is permanently frosted over and most creatures require gloves in order to wield the weapon without suffering frostbite. While drawn, the blade emanates a vapor as if it were experiencing sublimation, and constantly produces a hissing noise, similar to dry ice mixing with water. When used in combat, the wielder's hands become coated in a fine layer of frost (Which deals no damage and melts normally) and half of the damage dealt by the weapon is considered cold damage while the rest is normal for its type."
2,"Drown: A steel trident decorated with bronze barnacles along the upper part of its haft, Drown has a sea-green jewel just below the tines and a silver shell at the end of its haft. It floats on the surface if dropped onto water, and it floats in place if it is released underwater. The trident is always cool to the touch, and it is immune to any damage due to exposure to water. Drown contains a spark of Olhydra, the archomental Princess of Evil Water and the tiny fragment of her essence influences the bearer to become covetous and greedy. A long term bearer may discover his personality changing, finding that he is more likely demand and feeling deserving of the largest share of the spoils, and refuse to part with anything that's his. The bearer is aware that using the trident against others may grant him more gold to add to his horde and that causing pain and injury to others is worth it if the end result is more gold in his pocket. The bearer is never forced to act on these feelings but so long as he carries the weapon he may be swayed by its avarice. When the wielder lands a critical hit, instead of producing blood, ichor, tree sap, sloughs of undead flesh or other similar substance, the target shreds pure gold droplets. The equivalent of one gold coin per point of hit point damage dealt by the critical hit (In total, to a maximum limit of the amount of hit points the target has remaining), tumbles out of the target's body and falls to the ground. —Note: DM's can change the effect to function on the first time per day the wielder lands a critical hit if they feel their players will get distracted trying to abuse the effect to get rich rather than treating it as a fun, novel weapon."
3,"Rhindon: A kingly longsword with a pommel shaped like a golden lion's head and a red grip bisected by a gold ring. The sword has a silver blade with gold words engraved on both sides. One side reads: “When Aslan bares his teeth, winter meets its death.” while the other side states: ""When He Shakes His Mane, We Shall Have Spring Again.”. The weapon is extraordinarily durable and any wielder can plainly feel the solid construction under its unyielding form. The weapon is five times harder to damage than a typical longsword and never breaks, chips or dulls as a result of casual use and is all but impossible to break or damage as a result of combat, even when targeted by enemies who attempt sundering or weapon breaking techniques. The weapon and its sheath of matching design are immune to rust, age and mundane wear and tear. The weapon is treated as a +1 against wolves, dire-wolves, were-wolves and other canine creatures."
4,"Plague Bringer: A thick club made entirely out of wood so rotten its species is unidentifiable. It's covered in various colors of toxic mold and riddled with small holes made by crawling insects that burrow into the club and constantly skitter from hole to hole. The only patch of untainted wood on the entire weapon is the grip, which is tinted white and has symbol of a horse and a swarm of flies etched onto it. Small chunks of toxic mold, rotten wood and dead insects routinely fall off of the weapon leaving a trail of refuse in the wielder's wake. The mold on the club seems to regrow over the lost material and the burrowing insects will bring up fragments of rotted wood from the club's center to replace bits that have been lost. No matter how much of the club's material falls off, it never seems to get any lighter and never loses its structural integrity. Creatures in possession of the weapon feel mildly sick most of the time and occasionally feel as though the burrowing insects were crawling over their skin even when they aren't touching the club. Despite how he feels the bearer becomes objectively hale and hearty, seemingly at the expense of those around him. Or perhaps the club treats the bearer as some kind of symbiote using him to ferry the weapon to its next victim. All creatures with ten feet of the weapon (Excluding the bearer) suffer disadvantage on saving throws against disease, infection and sickness and the bearer gains advantage on those saves. A successful hit against a living creature introduces toxic splinters, black mold and burrowing maggots directly into the victim's flesh hampering their body's ability to heal. Whenever a living creature damaged by the weapon would be healed (By any source, power or ability whatsoever), roll the amount healed twice and use the lower result. Should the creature instead be healed for a non-rolled amount of hit points, reduce the healing by one point to a minimum of zero. The magical toxins are short lived and the reduced healing effect only lasts until the start of the wielder's next turn."
5,"Last Whisper: A shortbow made of pale gold wood with gold accents, surrounded by a faint bluish haze. Built into the arrow rest lies a pair of large curving fangs of an unknown animal, arrows are fired from between the teeth. Carved into the wood along the interior of the shaft is the phrase “You May Say Your Last Words, With A Whisper"". The weapon becomes completely invisible when it is in the possession of a creature who is being forced to whisper. The weapon makes no noise of any sort when it strikes a target and negates any sound the target would make as a result of being hit. Even if the wielder took the weapon into both hands and struck a gong as hard as they could, the result would only be silence. A creature struck by the weapon cannot utter any sounds louder than a barely audible whisper until the start of the wielder's next turn. While the weapon is being wielded and for one hour afterwards, the bearer cannot speak louder than a barely audible whisper. This does not hinder spellcasting (Unless the spell requires the target to hear the bearer) as the bearer is still able to speak but he cannot provide rallying cries to allies, give instructions, shout for help, or yell warnings. The forced whispering hinders the bearer's ability to properly project their personality and they suffer disadvantage on all charisma based checks that rely on them speaking. —Note: In game terms only creatures within five feet of the bearer or victim can hear them whispering in optimal conditions. During loud situations such as combat, thunderstorms or in a loud taverns, whispers cannot be heard at all."
6,"Cudgel of the Interrogator: A bloodstained and heavily worn club whose magic is activated whenever it strikes an intelligent creature. The wielder can either choose to deal normal club damage with the weapon or deal a single point of nonlethal damage which renders the victim unconscious but alive whenever it would normally kill. A creature struck by the Cudgel can only speak the truth during their next sentence. The struck creature is incapable of speaking if the words they consider or know to be untrue. However, the struck creature can make any statement they wish such as “I hope you die!”, “The sky is blue.” or “My name is X.” Being repeatedly struck with the Cudgel forces the creature to speak the truth again but it can be the same truth they said the last time. Victims will often repeat the same insult, state their name or simply state the color of a nearby wall or other incredibly obvious fact to get around the cudgel's magic."
7,"Bystander's Bullets: A grey bandolier containing 20 ornate sling bullets. Each piece of ammunition consists of a sealed glass orb filled with black and white liquids in a yin-yang design which are kept separate by a thick layer of glass. A knowledgeable PC can identify the liquids as holy and unholy water, essentially the distilled essence of good and evil separated by simple glass. The bullets can be launched from a sling normally, the projectiles are unnaturally attracted to neutral creatures changing course slightly to hit them. The glass shattering on impact splashing the target with both liquids. The holy and unholy water mix together finding a mutual enemy in those who have refused or refrained from taking a moral side. An intelligent neutral creature (A creature who is not overly good or evil, regardless if they are lawful or chaotic) is damaged by the mixture of holy and unholy water even if they would not normally be hurt by either of them. The holy water burns the target with white fire, putting off billowing clouds of pure steam, while the unholy water melts the target with black acid putting off trails of thick acrid smoke which curl downward. The sling bullets are considered +1 ammunition if the intelligent target is neutral, chaotic neutral, or lawful neutral. To all others the explosion of shards upon impact of the glass bullet along with the coating of noxious profane liquid and sterilizing sacred water deals as much damage as a mundane sling. —Note: In games with no strict alignment or moral code, the DM has final say on what creatures are valid targets. In such games, the bullets automatically impart to its wielder which creatures within 30 feet are moral bystanders (Valid targets) so the ammunition is not wasted."
8,"The Coward's Way: An ornate, gem studded, dueling rapier that is so gaudy it is nearly ceremonial in appearance. A proficient wielder will notice that despite its flamboyant appearance it is a functional lethal weapon with a few deadly secrets. This rapier was designed and enchanted for cheating in lethal duels by unscrupulous contestants. Pressing a small gem near the base of the grip causes the pommel to spring open revealing a hollow hilt that can fit two small darts. Twice per day, the wielder can press a different gem-button to magically propel a dart from disguised hole next to the base of the blade at a target within 15 feet. The attack and damage rolls are treated as though the wielder had thrown a dart that he was proficient in. This can be done once per round as part of making an attack with the rapier without penalty to either attack. Alternatively, the wielder can spend an action equivalent to an attack to aim and fire the dart (The wielder often levels the blade at the target during this time taunting them or saying “En garde!” to disguise the aiming action) which grants advantage on the attack roll. The rapier makes no sound when launching a projectile and the dart is rendered invisible for one minute after the being fired, making it nearly impossible for witnesses to notice that the wielder has cheated the duel. The sheer number of superfluous gems decorating the weapon make finding the gem-buttons by chance nearly impossible, even for an experienced dueling judge to discover during a routine weapon examination. The rapier is protected by minor shielding wards and when held or carried by a living creature it does not give off a magical aura and is not detectable as a magical object."
9,"Dragonglass Blade: A large sharp chunk of knapped obsidian with a leather strap wrapped around a dull section creating a hilt. Upon casual inspection it seems to be a crude stone knife, however perceptive PC's will notice a finely etched symbol of a dragon seated on a throne made of swords, which is mostly hidden under the leather. The dagger is considered a +1 weapon against undead creatures and beings consisting primarily of ice or snow. Obsidian is quite fragile however and whenever the wielder rolls a natural 1 on a hit with this weapon, they must roll an additional 1d4. If the roll is another natural 1, roll damage as normal and the weapon shatters, dealing half of the damage to the wielder as well as the target."
10,"Nightmare Lash: A smooth, jet black whip whose long sinuous cord that moves slightly of its own accord, curling into nightmarish shapes whenever it's seen out of the corner of one's eye. The whip flays the target's mind as well as their skin with each strike and half of the damage dealt by it is considered psychic damage while the rest is normal for its type. Whenever a being touches or is struck by the whip, that creature relives a fleeting instant of a long forgotten childhood nightmare, before the memory quickly submerges back into their subconscious. Twice per day, when the wielder lands a successful attack against an enemy he can choose to cause that creature to suffer from severe night terrors during their next eight hours (Consecutive or nonconsecutive) of sleep as they experience a vivid and specific Random Nightmare. The victim's sleep is plagued with thrashing and screaming as they frequently bolt awake terrified, drenched in cold sweat, their heart pounding heavily in their chest. The creature's sleep is so disturbed by the nightmares that they gain no benefits from the rest whatsoever."
